Date;Open;High;Low;Close;Volume;Name
2006-01-03;61.040001;63.799999;60.810001;63.139999;72714;CL
2006-01-04;63.000000;63.650002;62.259998;63.419998;130635;CL
2006-01-05;63.400002;63.799999;62.599998;62.790001;105194;CL
2006-01-06;62.599998;64.449997;62.599998;64.209999;104035;CL
2006-01-08;null;null;null;null;null;CL
2006-01-09;64.150002;64.610001;62.900002;63.500000;110763;CL
2006-01-10;63.380001;64.199997;63.049999;63.369999;115558;CL
2006-01-11;63.349998;64.800003;62.599998;63.939999;111890;CL
2006-01-12;63.980000;65.050003;63.849998;63.939999;166379;CL
2006-01-13;63.970001;64.330002;63.099998;63.919998;111400;CL
2006-01-15;null;null;null;null;null;CL
2006-01-16;null;null;null;null;null;CL
2006-01-17;64.820000;66.349998;64.599998;66.309998;111400;CL
2006-01-18;66.349998;66.930000;65.250000;65.730003;117433;CL
2006-01-19;65.849998;66.900002;65.250000;66.830002;87073;CL
2006-01-20;66.849998;68.800003;66.779999;68.349998;64886;CL
2006-01-22;null;null;null;null;null;CL
2006-01-23;68.449997;69.199997;67.599998;68.099998;149990;CL
2006-01-24;68.099998;68.110001;67.000000;67.059998;84184;CL
2006-01-25;67.099998;67.099998;65.449997;65.849998;100194;CL
2006-01-26;65.849998;66.900002;65.309998;66.260002;138328;CL
2006-01-27;66.489998;67.949997;66.349998;67.760002;124697;CL
2006-01-29;null;null;null;null;null;CL
2006-01-30;67.849998;68.449997;67.250000;68.349998;112320;CL
2006-01-31;68.400002;68.650002;67.349998;67.919998;92440;CL
2006-02-01;67.730003;69.000000;66.300003;66.559998;118865;CL
2006-02-02;66.279999;67.190002;64.400002;64.680000;140025;CL
2006-02-03;64.699997;65.400002;63.950001;65.370003;150155;CL
2006-02-05;null;null;null;null;null;CL
2006-02-06;65.599998;66.620003;64.900002;65.110001;110816;CL
2006-02-07;65.099998;65.099998;63.000000;63.090000;97538;CL
2006-02-08;63.189999;63.490002;62.299999;62.549999;145683;CL
2006-02-09;62.570000;63.700001;62.340000;62.619999;150436;CL
2006-02-10;62.639999;63.000000;61.200001;61.840000;133578;CL
2006-02-12;null;null;null;null;null;CL
2006-02-13;62.099998;62.180000;60.849998;61.240002;146060;CL
2006-02-14;61.180000;61.299999;59.500000;59.570000;91961;CL
2006-02-15;59.490002;60.049999;57.500000;57.700001;132021;CL
2006-02-16;57.700001;58.639999;57.549999;58.459999;136092;CL
2006-02-17;58.799999;60.000000;58.680000;59.880001;93510;CL
2006-02-19;null;null;null;null;null;CL
2006-02-20;null;null;null;null;null;CL
2006-02-21;61.250000;61.500000;60.500000;61.099998;93510;CL
2006-02-22;62.500000;62.590000;60.520000;61.009998;114878;CL
2006-02-23;60.910000;61.150002;59.700001;60.540001;106291;CL
2006-02-24;60.500000;63.250000;60.470001;62.910000;122119;CL
2006-02-26;null;null;null;null;null;CL
2006-02-27;62.799999;62.849998;60.849998;61.000000;134353;CL
2006-02-28;60.900002;61.500000;60.299999;61.410000;93771;CL
2006-03-01;61.580002;62.349998;61.459999;61.970001;133720;CL
2006-03-02;61.959999;63.450001;61.799999;63.360001;91941;CL
2006-03-03;63.529999;63.790001;62.700001;63.669998;97323;CL
2006-03-05;null;null;null;null;null;CL
2006-03-06;63.750000;63.919998;61.799999;62.410000;97539;CL
2006-03-07;62.320000;62.750000;61.099998;61.580002;98681;CL
2006-03-08;61.549999;61.680000;59.250000;60.020000;120050;CL
2006-03-09;60.009998;60.900002;59.549999;60.470001;132359;CL
2006-03-10;60.560001;60.779999;59.700001;59.959999;118689;CL
2006-03-12;null;null;null;null;null;CL
2006-03-13;60.049999;61.900002;59.580002;61.770000;98521;CL
2006-03-14;61.750000;63.369999;61.270000;63.099998;127869;CL
2006-03-15;62.900002;63.200001;62.000000;62.169998;108475;CL
2006-03-16;62.049999;63.900002;61.650002;63.580002;96651;CL
2006-03-17;63.480000;63.700001;62.700001;62.770000;100866;CL
2006-03-19;null;null;null;null;null;CL
2006-03-20;62.959999;62.990002;60.250000;60.419998;67472;CL
2006-03-21;60.410000;61.000000;59.599998;60.570000;77265;CL
2006-03-22;62.279999;62.849998;61.610001;61.770000;117421;CL
2006-03-23;61.900002;64.000000;61.869999;63.910000;96044;CL
2006-03-24;63.869999;64.750000;63.400002;64.260002;136666;CL
2006-03-26;null;null;null;null;null;CL
2006-03-27;64.180000;64.550003;63.450001;64.160004;91950;CL
2006-03-28;64.300003;66.199997;64.050003;66.070000;62115;CL
2006-03-29;66.099998;66.699997;65.580002;66.449997;101384;CL
2006-03-30;66.510002;67.300003;66.050003;67.150002;112102;CL
2006-03-31;67.050003;67.139999;65.599998;66.629997;95673;CL
2006-04-02;null;null;null;null;null;CL
2006-04-03;66.250000;67.900002;66.199997;66.739998;139335;CL
2006-04-04;66.650002;66.650002;65.599998;66.230003;94634;CL
2006-04-05;66.199997;67.250000;65.739998;67.070000;108407;CL
2006-04-06;67.110001;68.199997;67.099998;67.940002;99786;CL
2006-04-07;67.849998;67.849998;66.650002;67.389999;111112;CL
2006-04-09;null;null;null;null;null;CL
2006-04-10;67.339996;68.949997;67.220001;68.739998;109202;CL
2006-04-11;68.669998;69.449997;68.000000;68.980003;108018;CL
2006-04-12;68.949997;69.599998;68.449997;68.620003;125615;CL
2006-04-13;68.519997;69.400002;67.870003;69.320000;123407;CL
2006-04-14;null;null;null;null;null;CL
2006-04-16;null;null;null;null;null;CL
2006-04-17;69.629997;70.449997;69.300003;70.400002;119373;CL
2006-04-18;70.269997;71.599998;70.150002;71.349998;98598;CL
2006-04-19;71.290001;72.400002;70.699997;72.169998;96036;CL
2006-04-20;72.029999;72.489998;70.699997;71.949997;89721;CL
2006-04-21;73.349998;75.349998;72.730003;75.169998;141724;CL
2006-04-23;null;null;null;null;null;CL
2006-04-24;75.059998;75.349998;72.949997;73.330002;100736;CL
2006-04-25;73.279999;74.000000;71.750000;72.879997;125457;CL
2006-04-26;72.849998;73.220001;71.849998;71.930000;146843;CL
2006-04-27;71.930000;72.010002;70.750000;70.970001;107094;CL
2006-04-28;70.989998;72.650002;70.489998;71.879997;108953;CL
2006-04-30;null;null;null;null;null;CL
2006-05-01;71.750000;73.750000;71.419998;73.699997;155575;CL
2006-05-02;73.800003;74.900002;73.500000;74.610001;83652;CL
2006-05-03;74.629997;74.989998;72.250000;72.279999;112597;CL
2006-05-04;72.169998;72.470001;69.300003;69.940002;119109;CL
2006-05-05;70.199997;70.699997;69.699997;70.190002;158815;CL
2006-05-07;null;null;null;null;null;CL
2006-05-08;70.169998;70.559998;68.199997;69.769997;119448;CL
2006-05-09;69.839996;71.500000;69.620003;70.690002;122344;CL
2006-05-10;70.650002;72.199997;69.599998;72.129997;149147;CL
2006-05-11;72.129997;73.900002;71.980003;73.320000;151862;CL
2006-05-12;73.099998;73.349998;71.599998;72.040001;135853;CL
2006-05-14;null;null;null;null;null;CL
2006-05-15;72.040001;72.040001;69.250000;69.410004;101826;CL
